term	stem	removestop	sim	termweights	p_0.25	p_0.5	p_0.75	p_1.0	p_mean1	p_mean2	r_norm	p_norm
tf	False	False	cosine	1,1,1,1	0.0363	0.0363	0.0363	0.0363	0.0363	0.0363	0.5038	0.1861
tf	False	False	cosine	1,3,4,1	0.0361	0.0361	0.0361	0.0361	0.0361	0.0361	0.4762	0.1836
tf	False	False	cosine	1,1,1,4	0.0363	0.0363	0.0363	0.0363	0.0363	0.0363	0.5258	0.1987
tf	False	False	jaccard	1,1,1,1	0.0366	0.0366	0.0366	0.0366	0.0366	0.0366	0.4732	0.1840
tf	False	False	jaccard	1,3,4,1	0.0364	0.0364	0.0364	0.0364	0.0364	0.0364	0.4958	0.2068
tf	False	False	jaccard	1,1,1,4	0.0359	0.0359	0.0359	0.0359	0.0359	0.0359	0.5261	0.1786
tf	False	False	dice	1,1,1,1	0.0366	0.0366	0.0366	0.0366	0.0366	0.0366	0.4641	0.1819
tf	False	False	dice	1,3,4,1	0.0365	0.0365	0.0365	0.0365	0.0365	0.0365	0.4813	0.2035
tf	False	False	dice	1,1,1,4	0.0363	0.0363	0.0363	0.0363	0.0363	0.0363	0.4077	0.1428
tf	False	False	overlap	1,1,1,1	0.0363	0.0363	0.0363	0.0363	0.0363	0.0363	0.4507	0.1511
tf	False	False	overlap	1,3,4,1	0.0367	0.0367	0.0367	0.0367	0.0367	0.0367	0.4237	0.1403
tf	False	False	overlap	1,1,1,4	0.0363	0.0363	0.0363	0.0363	0.0363	0.0363	0.4677	0.1555
tf	False	True	cosine	1,1,1,1	0.0382	0.0382	0.0382	0.0382	0.0382	0.0382	0.6226	0.2471
tf	False	True	cosine	1,3,4,1	0.0379	0.0379	0.0379	0.0379	0.0379	0.0379	0.5482	0.2152
tf	False	True	cosine	1,1,1,4	0.0385	0.0385	0.0385	0.0385	0.0385	0.0385	0.6529	0.2621
tf	False	True	jaccard	1,1,1,1	0.0396	0.0396	0.0396	0.0396	0.0396	0.0396	0.5748	0.2335
tf	False	True	jaccard	1,3,4,1	0.0399	0.0399	0.0399	0.0399	0.0399	0.0399	0.5605	0.2217
tf	False	True	jaccard	1,1,1,4	0.0394	0.0394	0.0394	0.0394	0.0394	0.0394	0.6041	0.2252
tf	False	True	dice	1,1,1,1	0.0396	0.0396	0.0396	0.0396	0.0396	0.0396	0.5648	0.2309
tf	False	True	dice	1,3,4,1	0.0400	0.0400	0.0400	0.0400	0.0400	0.0400	0.5429	0.2171
tf	False	True	dice	1,1,1,4	0.0398	0.0398	0.0398	0.0398	0.0398	0.0398	0.5237	0.2040
tf	False	True	overlap	1,1,1,1	0.0383	0.0383	0.0383	0.0383	0.0383	0.0383	0.5755	0.2193
tf	False	True	overlap	1,3,4,1	0.0394	0.0394	0.0394	0.0394	0.0394	0.0394	0.5279	0.2006
tf	False	True	overlap	1,1,1,4	0.0379	0.0379	0.0379	0.0379	0.0379	0.0379	0.6119	0.2311
tf	True	False	cosine	1,1,1,1	0.0391	0.0391	0.0391	0.0391	0.0391	0.0391	0.4643	0.1696
